"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1149","shouldAllowUnmarkingItemsAsComplete()","","Sun Dec 07 08:59:27 UTC 2025","passed","Sun Dec 07 08:59:28 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ItemTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ItemTests","shouldAllowUnmarkingItemsAsComplete"
"","3380","Should allow adding TODO items","","Sun Dec 07 08:59:19 UTC 2025","passed","Sun Dec 07 08:59:23 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.NewTodoTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$NewTodoTests","shouldAllowAddingTodoItems"
"","3342","shouldTrimEnteredText()","","Sun Dec 07 08:59:21 UTC 2025","passed","Sun Dec 07 08:59:24 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldTrimEnteredText"
"","3529","shouldAllowDisplayingCompletedItems()","","Sun Dec 07 08:59:19 UTC 2025","passed","Sun Dec 07 08:59:23 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.RoutingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$RoutingTests","shouldAllowDisplayingCompletedItems"
"","3556","completeAllCheckboxShouldUpdateState()","","Sun Dec 07 08:59:21 UTC 2025","passed","Sun Dec 07 08:59:25 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.MarkAllAsCompletedTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$MarkAllAsCompletedTests","completeAllCheckboxShouldUpdateState"
"","1543","shouldCancelEditsOnEscape()","","Sun Dec 07 08:59:27 UTC 2025","passed","Sun Dec 07 08:59:28 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldCancelEditsOnEscape"
"","3311","shouldClearTextInputFieldWhenItemIsAdded()","","Sun Dec 07 08:59:23 UTC 2025","passed","Sun Dec 07 08:59:26 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.NewTodoTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$NewTodoTests","shouldClearTextInputFieldWhenItemIsAdded"
"","842","shouldDisplayCurrentNumberOfTodoItems()","","Sun Dec 07 08:59:27 UTC 2025","passed","Sun Dec 07 08:59:27 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.CounterTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$CounterTests","shouldDisplayCurrentNumberOfTodoItems"
"","3502","shouldBeHiddenWhenNoItemsAreCompleted()","","Sun Dec 07 08:59:23 UTC 2025","passed","Sun Dec 07 08:59:27 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ClearCompletedButtonTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ClearCompletedButtonTests","shouldBeHiddenWhenNoItemsAreCompleted"
"","3255","shouldPersistDataOnReload()","","Sun Dec 07 08:59:18 UTC 2025","passed","Sun Dec 07 08:59:22 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.PersistenceTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$PersistenceTests","shouldPersistDataOnReload"
"","830","shouldAllowEditingAnItem()","","Sun Dec 07 08:59:23 UTC 2025","passed","Sun Dec 07 08:59:24 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ItemTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ItemTests","shouldAllowEditingAnItem"
"","3597","shouldSaveEditsOnBlur()","","Sun Dec 07 08:59:19 UTC 2025","passed","Sun Dec 07 08:59:23 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldSaveEditsOnBlur"
"","3165","shouldAllowDisplayingActiveItems()","","Sun Dec 07 08:59:18 UTC 2025","passed","Sun Dec 07 08:59:22 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.RoutingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$RoutingTests","shouldAllowDisplayingActiveItems"
